name;;sort_name
Europe -- Belgium -- Louvain -- Catholic University of Leuven;;Europe -- Belgium -- Louvain -- Catholic University of Leuven
Europe -- Belgium -- Louvain -- Katholieke Universiteit Leuven;;Europe -- Belgium -- Louvain -- Katholieke Universiteit Leuven
Europe -- Belgium -- Louvain -- Saint Michael's Church;;Europe -- Belgium -- Louvain -- Saint Michael's Church
Europe -- Belgium -- Louvain -- University of Louvain;;Europe -- Belgium -- Louvain -- University of Louvain
Europe -- Belgium -- Low Countries;;Europe -- Belgium -- Low Countries
Europe -- Belgium -- Mons;;Europe -- Belgium -- Mons
Europe -- Belgium -- Namur;;Europe -- Belgium -- Namur
Europe -- Belgium -- Verviers;;Europe -- Belgium -- Verviers
Europe -- Belgium -- Walloon;;Europe -- Belgium -- Walloon
Europe -- Belgium – Brussels;;Europe -- Belgium – Brussels
Europe -- Beligium;;Europe -- Beligium
Europe -- Beligum -- Bruges;;Europe -- Beligum -- Bruges
Europe -- Bosnia;;Europe -- Bosnia
Europe -- Bosnia and Herzegovina;;Europe -- Bosnia and Herzegovina
Europe -- Bosnia and Herzegovina -- Sarajevo -- Vrhbosnian Theological Seminary;;Europe -- Bosnia and Herzegovina -- Sarajevo -- Vrhbosnian Theological Seminary
Europe -- Bosnia and Herzegovina -- Travnik;;Europe -- Bosnia and Herzegovina -- Travnik
Europe -- Bosnia and Herzegovina -- Trebinje;;Europe -- Bosnia and Herzegovina -- Trebinje
Europe -- Bulgaria;;Europe -- Bulgaria
Europe -- Corsica;;Europe -- Corsica
Europe -- Croatia;;Europe -- Croatia
Europe -- Croatia -- Dalmatia;;Europe -- Croatia -- Dalmatia
Europe -- Croatia -- Dubrovnik;;Europe -- Croatia -- Dubrovnik
Europe -- Croatia -- Dubrovnik -- University of Dubrovnik;;Europe -- Croatia -- Dubrovnik -- University of Dubrovnik
Europe -- Croatia -- Kraljevica;;Europe -- Croatia -- Kraljevica
Europe -- Croatia -- Kranjskoj;;Europe -- Croatia -- Kranjskoj
Europe -- Croatia -- Loreto -- Collegio Illyrico di Loreto;;Europe -- Croatia -- Loreto -- Collegio Illyrico di Loreto
Europe -- Croatia -- Opuzen;;Europe -- Croatia -- Opuzen
